"","x"
"1211",7
"1212",8
"1213",10
"1214",7
"1215",7
"1216",4
"1217",6
"1218",4
"1219",5
"1220",7
"1221",5
"1222",7
"1223",11
"1224",4
"1225",8
"1226",7
"1227",7
"1228",6
"1229",4
"1230",4
"1231",3
"1232",5
"1233",5
"1234",8
"1235",7
"1236",4
"1237",4
"1238",5
"1239",9
"1240",10
"1241",7
"1242",18
"1243",5
"1244",4
"1245",5
"1246",6
"1247",7
"1248",6
"1249",6
"1250",5
"1251",6
"1252",5
"1253",6
"1254",7
"1255",4
"1256",7
"1257",5
"1258",4
"1259",3
"1260",3
"1261",8
"1262",10
"1263",7
"1264",4
"1265",5
"1266",8
"1267",5
"1268",5
"1269",5
"1270",5
"1271",6
"1272",4
"1273",4
"1274",5
"1275",7
"1276",6
"1277",5
"1278",9
"1279",4
"1280",4
"1281",7
"1282",5
"1283",9
"1284",4
"1285",8
"1286",9
"1287",3
"1288",8
"1289",6
"1290",3
"1291",4
"1292",5
"1293",3
"1294",4
"1295",4
"1296",8
"1297",6
"1298",8
"1299",7
"1300",6
"1301",7
"1302",5
"1303",5
"1304",4
"1305",8
"1306",5
"1307",5
"1308",7
"1309",7
"1310",4
"1311",6
"1312",5
"1313",5
"1314",5
"1315",12
"1316",3
"1317",3
"1318",4
"1319",5
"1320",6
"1321",10
"1322",5
"1323",5
"1324",6
"1325",5
"1326",6
"1327",4
"1328",5
"1329",6
"1330",4
"1331",8
"1332",8
"1333",6
"1334",5
"1335",4
"1336",4
"1337",4
"1338",8
"1339",8
"1340",7
"1341",5
"1342",10
"1343",7
"1344",6
"1345",7
"1346",5
"1347",8
"1348",8
"1349",3
"1350",4
"1351",10
"1352",7
"1353",7
"1354",4
"1355",6
"1356",5
"1357",7
"1358",7
"1359",5
"1360",6
"1361",6
"1362",6
"1363",7
"1364",5
"1365",5
"1366",5
"1367",4
"1368",6
"1369",5
"1370",6
"1371",6
"1372",6
"1373",7
"1374",5
"1375",6
"1376",6
"1377",4
"1378",6
"1379",5
"1380",3
"1381",8
"1382",6
"1383",3
"1384",7
"1385",6
"1386",8
"1387",6
"1388",4
"1389",6
"1390",5
"1391",4
"1392",6
"1393",5
"1394",6
"1395",6
"1396",5
"1397",7
"1398",6
"1399",4
"1400",6
"1401",8
"1402",4
"1403",9
"1404",5
"1405",7
"1406",5
"1407",4
"1408",5
"1409",7
"1410",5
"1411",6
"1412",5
"1413",7
"1414",5
"1415",4
"1416",6
"1417",5
"1418",6
"1419",4
"1420",6
"1421",5
"1422",6
"1423",6
"1424",7
"1425",4
"1426",6
"1427",6
"1428",7
"1429",6
"1430",5
"1431",4
"1432",4
"1433",4
"1434",7
"1435",7
"1436",4
"1437",7
"1438",4
"1439",5
"1440",6
"1441",6
"1442",7
"1443",16
"1444",5
"1445",6
"1446",7
"1447",4
"1448",4
"1449",5
"1450",3
"1451",4
"1452",6
"1453",4
"1454",4
"1455",10
"1456",7
"1457",5
"1458",5
"1459",4
"1460",7
"1461",8
"1462",3
"1463",4
"1464",4
"1465",6
"1466",4
"1467",4
"1468",6
"1469",4
"1470",7
"1471",3
"1472",7
"1473",10
"1474",5
"1475",7
"1476",3
"1477",7
"1478",7
"1479",9
"1480",3
"1481",7
"1482",7
"1483",10
"1484",6
"1485",4
"1486",5
"1487",9
"1488",8
"1489",3
"1490",7
"1491",6
"1492",6
"1493",6
"1494",7
"1495",6
"1496",7
"1497",18
"1498",6
"1499",5
"1500",4
"1501",6
"1502",7
"1503",4
"1504",5
"1505",4
"1506",6
"1507",6
"1508",6
"1509",4
"1510",5
"1511",6
"1512",7
"1513",11
"1514",7
"1515",3
"1516",4
"1517",5
"1518",6
"1519",9
"1520",4
"1521",10
"1522",8
"1523",10
"1524",4
"1525",8
"1526",5
"1527",5
"1528",4
"1529",4
"1530",9
"1531",4
"1532",4
"1533",6
"1534",7
"1535",6
"1536",5
"1537",7
"1538",8
"1539",5
"1540",8
"1541",9
"1542",7
"1543",4
"1544",5
"1545",6
"1546",5
"1547",3
"1548",8
"1549",8
"1550",11
"1551",4
"1552",7
"1553",4
"1554",6
"1555",8
"1556",6
"1557",4
"1558",6
"1559",10
"1560",6
"1561",7
"1562",12
"1563",4
"1564",7
"1565",7
"1566",5
"1567",7
"1568",4
"1569",3
"1570",6
"1571",6
"1572",6
"1573",4
"1574",5
"1575",5
"1576",6
"1577",9
"1578",5
"1579",3
"1580",6
"1581",5
"1582",6
"1583",4
"1584",8
"1585",5
"1586",8
"1587",5
"1588",4
"1589",7
"1590",9
"1591",8
"1592",8
"1593",7
"1594",6
"1595",9
"1596",3
"1597",8
"1598",4
"1599",5
"1600",6
"1601",5
"1602",6
"1603",6
"1604",7
"1605",5
"1606",9
"1607",6
"1608",3
"1609",5
"1610",5
"1611",6
"1612",5
"1613",5
"1614",6
"1615",6
"1616",6
"1617",7
"1618",6
"1619",5
"1620",4
"1621",6
"1622",5
"1623",7
"1624",6
"1625",5
"1626",3
"1627",6
"1628",4
"1629",8
"1630",6
"1631",5
"1632",4
"1633",6
"1634",4
"1635",18
"1636",6
"1637",5
"1638",10
"1639",4
"1640",10
"1641",5
"1642",6
"1643",6
"1644",7
"1645",6
"1646",7
"1647",4
"1648",6
"1649",7
"1650",4
"1651",5
"1652",4
"1653",5
"1654",4
"1655",6
"1656",5
"1657",4
"1658",7
"1659",4
"1660",4
"1661",6
"1662",5
"1663",4
"1664",5
"1665",5
"1666",6
"1667",7
"1668",7
"1669",3
"1670",4
"1671",5
"1672",6
"1673",12
"1674",7
"1675",4
"1676",9
"1677",10
"1678",8
"1679",6
"1680",6
"1681",5
"1682",5
"1683",4
"1684",7
"1685",6
"1686",6
"1687",7
"1688",7
"1689",6
"1690",5
"1691",6
"1692",5
"1693",4
"1694",7
"1695",4
"1696",6
"1697",6
"1698",3
"1699",8
"1700",5
"1701",8
"1702",7
"1703",5
"1704",5
"1705",6
"1706",5
"1707",5
"1708",7
"1709",7
"1710",4
"1711",4
"1712",4
"1713",5
"1714",6
"1715",9
"1716",6
"1717",3
"1718",10
"1719",11
"1720",6
"1721",5
"1722",4
"1723",5
"1724",5
"1725",4
"1726",4
"1727",3
"1728",6
"1729",5
"1730",5
"1731",5
"1732",8
"1733",5
"1734",6
"1735",9
"1736",7
"1737",6
"1738",7
"1739",4
"1740",4
"1741",3
"1742",5
"1743",9
"1744",6
"1745",4
"1746",5
"1747",5
"1748",8
"1749",6
"1750",4
"1751",6
"1752",9
"1753",4
"1754",3
"1755",4
"1756",4
"1757",4
"1758",4
"1759",5
"1760",3
"1761",5
"1762",4
"1763",9
"1764",6
"1765",6
"1766",6
"1767",9
"1768",7
"1769",4
"1770",8
"1771",12
"1772",6
"1773",5
"1774",11
"1775",5
"1776",7
"1777",10
"1778",10
"1779",4
"1780",6
"1781",7
"1782",7
"1783",9
"1784",6
"1785",6
"1786",5
"1787",4
"1788",7
"1789",10
"1790",11
"1791",6
"1792",6
"1793",7
"1794",9
"1795",7
"1796",7
"1797",7
"1798",7
"1799",7
"1800",7
"1801",6
"1802",4
"1803",6
"1804",4
"1805",5
"1806",6
"1807",11
"1808",4
"1809",7
"1810",4
"1811",8
"1812",6
"1813",7
"1814",3
"1815",10
"1816",6
"1817",4
"1818",4
"1819",9
"1820",4
"1821",7
"1822",6
"1823",4
"1824",10
"1825",5
"1826",7
"1827",5
"1828",5
"1829",8
"1830",10
"1831",10
"1832",8
"1833",5
"1834",6
"1835",4
"1836",5
"1837",6
"1838",9
"1839",4
"1840",7
"1841",4
"1842",7
"1843",8
"1844",3
"1845",7
"1846",11
"1847",4
"1848",5
"1849",9
"1850",3
"1851",4
"1852",7
"1853",5
"1854",7
"1855",6
"1856",4
"1857",6
"1858",4
"1859",5
"1860",6
"1861",4
"1862",12
"1863",23
"1864",5
"1865",7
"1866",6
"1867",6
"1868",5
"1869",8
"1870",6
"1871",6
"1872",6
"1873",6
"1874",4
"1875",6
"1876",3
"1877",12
"1878",6
"1879",12
"1880",6
"1881",6
"1882",6
"1883",6
"1884",10
"1885",5
"1886",8
"1887",8
"1888",4
"1889",7
"1890",4
"1891",6
"1892",4
"1893",8
"1894",4
"1895",5
"1896",4
"1897",4
"1898",4
"1899",7
"1900",3
"1901",6
"1902",7
"1903",8
"1904",8
"1905",8
"1906",5
"1907",5
"1908",9
"1909",7
"1910",5
"1911",5
"1912",7
"1913",6
"1914",4
"1915",7
"1916",10
"1917",6
"1918",4
"1919",4
"1920",6
"1921",5
"1922",4
"1923",4
"1924",5
"1925",9
"1926",10
"1927",8
"1928",4
"1929",7
"1930",4
"1931",5
"1932",4
"1933",6
"1934",4
"1935",4
"1936",7
"1937",9
"1938",11
"1939",5
"1940",4
"1941",4
"1942",4
"1943",6
"1944",6
"1945",4
"1946",5
"1947",7
"1948",10
"1949",6
"1950",4
"1951",7
"1952",5
"1953",4
"1954",8
"1955",6
"1956",7
"1957",6
"1958",9
"1959",6
"1960",9
"1961",6
"1962",8
"1963",5
"1964",6
"1965",7
"1966",3
"1967",4
"1968",7
"1969",8
"1970",6
"1971",13
"1972",5
"1973",5
"1974",11
"1975",8
"1976",6
"1977",9
"1978",9
"1979",4
"1980",6
